dataset,fold,model,seed,accuracy,precision,recall,f1,threshold,threshold_percentile,training_time_sec,inference_time_sec,epochs_ran,final_train_loss,final_val_loss
skab,0,cnn,2026,0.5305983680870353,0.4420866489832007,0.25773195876288657,0.32562683165092804,0.026383204385638237,95.0,84.80753120000008,1.8185111999628134,6,0.0015697716483778386,0.0033377213886969215
skab,1,cnn,2026,0.539827036868457,0.0,0.0,0.0,0.006490723229944706,95.0,169.1983189000166,1.615779800049495,12,0.001297894655126059,0.0005063708065302064
skab,2,cnn,2026,0.5174140678351924,0.0,0.0,0.0,0.0029308288358151913,95.0,174.1939582999912,1.4403392000240274,19,0.0013181667644544034,0.0004075820241864423
skab,3,cnn,2026,0.5163820950622982,0.1574468085106383,0.019121447028423774,0.034101382488479264,0.0020300501491874456,95.0,254.469408200006,1.8715308999526314,19,0.0011356202643383224,0.00069891252276718
skab,4,cnn,2026,0.5263276327632763,0.0,0.0,0.0,0.0010343288304284215,95.0,257.2837468999787,1.4787916000350378,30,0.0009457696645371621,0.0005205241369432398
skab,0,lstm,42,0.4381233000906618,0.2506938020351526,0.1396907216494845,0.1794107911287653,0.0021047845948487,95.0,838.0694283000194,6.053508999990299,13,0.0020641149885263,0.0003977509053297
skab,1,lstm,42,0.5209376422394174,0.2040816326530612,0.0310719834282755,0.0539325842696629,0.0017133726505562,95.0,797.843083099986,4.726494400005322,17,0.0018967010192587,0.0004344458790872
skab,2,lstm,42,0.4841793762804461,0.0,0.0,0.0,0.0018820824334397,95.0,689.7461966000265,4.885972000018228,20,0.0015781235747282,0.0022100867825204
skab,3,lstm,42,0.6377480387632672,0.7398160315374507,0.2909560723514212,0.4176557863501484,0.0018819528631865,95.0,631.61427000002,25.99080879997928,17,0.0015205455328206,0.0005874876867406
skab,4,lstm,42,0.5112511251125113,0.0,0.0,0.0,0.0015957519644871,95.0,755.4494537999853,5.285419000021648,13,0.0017183272601379,0.0009171241009225
