dataset,fold,model,seed,accuracy,precision,recall,f1,threshold,threshold_percentile,training_time_sec,inference_time_sec,epochs_ran,final_train_loss,final_val_loss
skab,3,cnn,123,0.5828334102445778,0.6182495344506518,0.17157622739018089,0.2686084142394822,0.0027104876935482025,95.0,73.21979743000338,1.491821814001014,10,0.0014473505207812634,0.000856055920921801
skab,4,cnn,123,0.5463546354635463,0.0,0.0,0.0,0.0028594143223017454,95.0,75.6664954049993,1.430640886999754,10,0.001449194359331762,0.0006517023351109288
skab,0,cnn,999,0.5271985494106981,0.4363001745200698,0.25773195876288657,0.32404406999351915,0.00737414788454771,95.0,42.496389321000606,1.080890664998151,6,0.0015147541509033461,0.0019502570275115602
skab,1,cnn,999,0.5498406918525262,0.0,0.0,0.0,0.005078925285488367,95.0,71.92196432399942,1.4143965959992784,10,0.0011500348826783962,0.0022942763660443086
skab,2,cnn,999,0.5538356476212156,0.0,0.0,0.0,0.024850651621818542,95.0,43.53887536199909,1.3657538570005272,6,0.0017128764476221003,0.0020897844784041526
skab,3,cnn,999,0.5198431010613752,0.0,0.0,0.0,0.006264801602810621,95.0,74.23564441300186,1.4800331039987213,10,0.0015319758920168962,0.00040194698563936426
skab,4,cnn,999,0.5481548154815482,0.0,0.0,0.0,0.025299210101366043,95.0,45.26383749600063,1.4520841240009759,6,0.0016577732585651532,0.0018783249289567748
skab,0,cnn,2026,0.5305983680870353,0.4420866489832007,0.25773195876288657,0.32562683165092804,0.026469595730304718,95.0,42.41735495199828,1.6538138980031363,6,0.0015667429035624133,0.0036322193513043883
skab,1,cnn,2026,0.5384615384615384,0.0,0.0,0.0,0.0054839253425598145,95.0,70.7410769800008,1.4166200009967724,10,0.0013946005086133975,0.0009412633873573849
skab,2,cnn,2026,0.541998634190758,0.0,0.0,0.0,0.008906219154596329,95.0,62.9991547790014,1.3897532019982464,9,0.0015877407250568642,0.0021279204020337754
skab,3,cnn,2026,0.5590678357175819,0.5285714285714286,0.11472868217054263,0.18853503184713377,0.001887558028101921,95.0,69.88582399200095,1.2762869420002971,10,0.0014663487252865948,0.0007049387753422615
skab,4,cnn,2026,0.5481548154815482,0.0,0.0,0.0,0.013533620163798332,95.0,53.538321086001815,1.5540791429993988,7,0.001586440748714672,0.0008765973677571839
skab,0,lstm,7,0.46940163191296463,0.3352506162695152,0.21030927835051547,0.25847323408299017,0.0021131231915205717,95.0,188.70101928000076,5.507158229000197,10,0.0020628051737872693,0.0007589476096266155
skab,1,lstm,7,0.5216203914428766,0.1890909090909091,0.026929052304505437,0.0471441523118767,0.002153637120500207,95.0,165.85105850699983,7.2312136459986505,9,0.001805327342789028,0.00040110525136639554
skab,2,lstm,7,0.48395174140678354,0.0,0.0,0.0,0.0028753774240612984,95.0,202.95502919200226,5.6367824410008325,10,0.0016673443265209386,0.0005357767295275046
skab,3,lstm,7,0.6400553760959853,0.7431906614785992,0.2961240310077519,0.42350332594235035,0.002088493900373578,95.0,196.90739467499952,5.785620553000626,10,0.0015857918808127038,0.0006439344247574723
skab,4,lstm,7,0.520927092709271,0.0,0.0,0.0,0.0016581813106313348,95.0,168.45428137600175,5.708829593997507,8,0.0016108901827859678,0.0009415398623749302
skab,0,lstm,42,0.49705349048050773,0.39674315321983716,0.27628865979381445,0.3257368580978426,0.002290464239194989,95.0,177.42961647999982,3.7971131400008744,10,0.002056766282755469,0.0004945836573147687
