dataset,model,training_time_sec_mean,training_time_sec_std,inference_time_sec_mean,inference_time_sec_std,accuracy_mean,f1_mean,source
skab,automata,0.6113047209983051,0.0,0.0,0.0,0.6309850997851403,0.023628708340746755,measured_end_to_end_pipeline_time
batadal,automata,0.08330916699924273,0.0,0.0,0.0,0.8353658536585366,0.2702702702702703,measured_end_to_end_pipeline_time
batadal,cnn,13.06046703660104,0.2139203343439213,0.2747200521989725,0.0752734042740719,0.7511533242876526,0.5190833815320819,dl_experiment_summary
batadal,lstm,40.110427319399605,1.8362630595457985,0.9371325616004468,0.0138271254607924,0.6293080054274085,0.0446795669654946,dl_experiment_summary
skab,cnn,63.49488667568003,12.850652955597594,1.4578160526795545,0.1622364597684309,0.5424799261976773,0.1019167313290884,dl_experiment_summary
skab,lstm,171.7658368666403,35.83183204302435,5.338401435880005,1.84557894828562,0.5269869490948473,0.1455387213679882,dl_experiment_summary
