dataset,model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,training_time_sec_mean,training_time_sec_std,inference_time_sec_mean,inference_time_sec_std
batadal,cnn,0.75359565807327,0.03733932739089645,0.7433017000532939,0.09293169082912561,0.5467625899280575,0.008043409991006436,0.6276232108677494,0.03132821816907968,86.8981171599822,17.848486011024775,0.6147000800003297,0.4325485524447816
batadal,lstm,0.6629579375848034,0.015308996154755308,0.8632436162870946,0.045209563716182635,0.1280575539568345,0.04962203814261411,0.21969410043065732,0.07464815188902542,242.65459778000368,64.56344169446564,1.006951060006395,0.1633416163486876
skab,cnn,0.5383986775299112,0.0181096373236642,0.1340581120230309,0.2136790495984817,0.0649117359211324,0.11425857048027778,0.08427673468804892,0.1447183896195029,164.89274224399588,101.91349320878163,2.2889244480058553,1.6360143150366846
skab,lstm,0.5266395313446205,0.06011756258469442,0.2523920129973718,0.27826787046040236,0.10194319364791396,0.12139709856927079,0.14091512413854512,0.16716074145542287,518.9485889680055,221.38064365104998,7.64167489200132,6.536081792540121
