dataset,model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,training_time_sec_mean,training_time_sec_std,inference_time_sec_mean,inference_time_sec_std
batadal,cnn,0.75359565807327,0.03733932739089645,0.7433017000532939,0.09293169082912561,0.5467625899280575,0.008043409991006436,0.6276232108677494,0.03132821816907968,86.8981171599822,17.848486011024775,0.6147000800003297,0.43254855244478146
batadal,lstm,0.6629579375848034,0.015308996154755308,0.8632436162870946,0.0452095637161826,0.12805755395683455,0.049622038142614094,0.21969410043065732,0.07464815188902539,242.65459778000368,64.56344169446565,1.006951060006395,0.16334161634868757
skab,cnn,0.538543404803795,0.009489089698789834,0.14494101357482997,0.21163664489012107,0.064863741708623,0.1260550572392908,0.08384892782197655,0.15485445787047122,133.67553844000213,55.318675628414155,2.580837740015704,1.5885102354752145
skab,lstm,0.5184478964972608,0.0740217680190219,0.2389182932451329,0.30266099081693904,0.09234375548583625,0.12499755599725408,0.13019983234971533,0.1766163425137554,742.5444863600075,82.82913108009286,9.388440640002955,9.29517550587107
