dataset,window_size,alphabet_size,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1_score,f1_score_std,state_count,state_count_std,transition_count,transition_count_std,transition_density,transition_density_std,path_probability,path_probability_std,confidence_score,confidence_score_std
skab,3,3,0.6356392088547085,0.009327234453893907,0.3555555555555555,0.19116278371205836,0.009870980733268636,0.005388482511590717,0.01920838989046985,0.010481148408460091,15.6,1.0198039027185568,29.2,3.54400902933387,0.11965702727169299,0.004126776560558652,1.0647787506606859e-32,2.1295575013213717e-32,0.9686500507056269,0.004912812524562812
skab,3,4,0.6287224226207718,0.01231868501221613,0.3130729005013026,0.17065732202786857,0.03765425291820647,0.04153483539658888,0.06276783709133221,0.06584180297623034,23.6,2.0591260281974,41.4,4.673328578219168,0.07457274840181286,0.0046953701025976395,3.410638953440546e-42,6.821277906881093e-42,0.9297550492574365,0.02987897211842748
skab,3,5,0.625591279770526,0.01157453509517869,0.17435185185185187,0.1434425127295317,0.01760467927550874,0.015022462418177602,0.03192854587273192,0.027107561890594743,29.6,1.8547236990991407,51.2,4.874423042781577,0.058531701299976105,0.0041189391406687694,0.0,0.0,0.9264982118609246,0.03624873496716115
skab,3,6,0.5995427513635783,0.049065472617968175,0.2800677523556788,0.1675899177725129,0.08091626892747066,0.09613441658980873,0.10463297930829589,0.09750198246927214,36.0,4.1952353926806065,64.4,8.014985963805552,0.05035616398835123,0.006170726982852065,0.0,0.0,0.8307939588612561,0.10488511437873708
skab,4,3,0.6309850997851403,0.01008119388403175,0.36444444444444446,0.20004937662092268,0.01223507278226383,0.008141682872030452,0.023628708340746755,0.015573659291770733,29.2,3.54400902933387,46.4,7.255342858886822,0.05489227643554948,0.0058962402765971615,0.0,0.0,0.9700487898521942,0.005826905317422327
skab,4,4,0.6247222378932128,0.012841093557252239,0.32537814696112005,0.1847924445173193,0.04307594170706511,0.05166652284814463,0.07019702466401784,0.07932597359090672,41.4,4.673328578219168,65.2,7.730459236035076,0.038486656902119366,0.004182850937009547,2.964885800381055e-38,5.929771600762111e-38,0.9284710123701517,0.03439144987981669
skab,4,5,0.6229129881273401,0.009676191950646658,0.21896356033452807,0.15876112031647044,0.019227539159989815,0.015090472340356948,0.03530596519047398,0.02759763634429513,51.2,4.874423042781577,79.4,10.26839812239475,0.030411116275569406,0.002503219089773544,0.0,0.0,0.9242627911018688,0.03918161697463559
skab,4,6,0.5819159385183331,0.04437904882201604,0.3341975370523104,0.0630282631846434,0.1268926609385257,0.10081407273789063,0.15992292587219376,0.10048931306182232,64.4,8.014985963805552,103.0,11.764352935882194,0.025341145957821398,0.0037912212521892838,0.0,0.0,0.8142493836682568,0.11392664180007175
skab,5,3,0.62563549536659,0.009130978728969083,0.35769230769230764,0.19058372563260123,0.016263738529862157,0.009575251824713884,0.0310505414798841,0.01813437116323397,46.4,7.255342858886822,65.0,11.575836902790225,0.030805984877596913,0.004611303298502517,0.0,0.0,0.9685684807146704,0.006828740708678508
skab,5,4,0.6184882645552775,0.013815655628400595,0.3261064425770308,0.18712963929512041,0.043768090017642605,0.0508396561656423,0.07148119969527218,0.07842305458788186,65.2,7.730459236035076,94.4,9.850888284819801,0.02262879068696875,0.0033107161027815784,0.0,0.0,0.9312160513087531,0.03855432689490387
skab,5,5,0.6166606638441869,0.012282425574914903,0.24009931245225363,0.14413211101582696,0.025521637981694396,0.019029825613447657,0.045882352712440386,0.03370117119079067,79.4,10.26839812239475,109.4,19.985995096566995,0.01740830527773079,0.0014164290469858996,0.0,0.0,0.9200571297792906,0.04214709007470768
skab,5,6,0.5783013079937871,0.04074674806339224,0.34639638967049474,0.07361833975421264,0.13429567752929045,0.10150440337058599,0.17029555387658651,0.09934884883651675,103.0,11.764352935882194,146.6,15.16047492659778,0.014062378509647236,0.001972027330177712,0.0,0.0,0.8127216860029709,0.11183623262095573
skab,6,3,0.620081472373356,0.008583380569815469,0.3466666666666666,0.17505166066115097,0.01731736746200154,0.010976330055404191,0.03285295514226451,0.020563289731536087,65.0,11.575836902790225,83.8,16.252999723128035,0.020373143983235538,0.003364978473140223,0.0,0.0,0.9676727370440272,0.007281530157075372
skab,6,4,0.614046729853795,0.013537313149147807,0.36284829721362233,0.21552213030073927,0.045036897776140054,0.04680371222615974,0.07486282824750985,0.07293463806897174,94.4,9.850888284819801,125.4,13.484806264830059,0.014241768440326671,0.0016809949757356675,0.0,0.0,0.9309293502249278,0.037067503973404935
skab,6,5,0.6126209741015268,0.016425612718913997,0.3026334147192187,0.16307319699513795,0.03589276770463646,0.02169006768743884,0.06356693431933372,0.037560989321017195,109.4,19.985995096566995,140.2,30.00933188193299,0.011993025670053448,0.0019294550115972946,0.0,0.0,0.9196475858622438,0.04016293553227145
skab,6,6,0.5729072804246609,0.04000717061819374,0.35509802559820697,0.08806729561122628,0.13919143937901482,0.10000345423980735,0.17741757077010964,0.0958325384480821,146.6,15.16047492659778,190.2,19.548913013259842,0.008956983934881325,0.0010384599460965289,0.0,0.0,0.8113157224796239,0.112269452436623
batadal,3,3,0.8727272727272727,,0.0,,0.0,,0.0,,26.0,,68.0,,0.10059171597633136,,1.6971024375767512e-71,,0.43035794336914684,
batadal,3,4,0.8303030303030303,,0.26666666666666666,,0.19047619047619047,,0.2222222222222222,,57.0,,156.0,,0.04801477377654663,,0.0,,0.36022506962560574,
batadal,3,5,0.6484848484848484,,0.10638297872340426,,0.23809523809523808,,0.14705882352941177,,102.0,,246.0,,0.02364475201845444,,0.0,,0.3272604089677262,
batadal,3,6,0.5878787878787879,,0.13846153846153847,,0.42857142857142855,,0.20930232558139536,,149.0,,316.0,,0.01423359308139273,,0.0,,0.2874113521979376,
batadal,4,3,0.8353658536585366,,0.35714285714285715,,0.21739130434782608,,0.2702702702702703,,68.0,,129.0,,0.027897923875432527,,0.0,,0.5058075458785827,
batadal,4,4,0.6890243902439024,,0.13157894736842105,,0.21739130434782608,,0.16393442622950818,,156.0,,277.0,,0.011382314266929651,,0.0,,0.41736269865104214,
batadal,4,5,0.5304878048780488,,0.13513513513513514,,0.43478260869565216,,0.20618556701030927,,246.0,,364.0,,0.006014938198162469,,0.0,,0.3692423799785764,
batadal,4,6,0.5182926829268293,,0.18888888888888888,,0.7391304347826086,,0.3008849557522124,,316.0,,421.0,,0.004216071142445121,,0.0,,0.3401840490797547,
batadal,5,3,0.7484662576687117,,0.25,,0.32,,0.2807017543859649,,129.0,,197.0,,0.011838230875548344,,0.0,,0.52454928473447,
batadal,5,4,0.588957055214724,,0.171875,,0.44,,0.24719101123595505,,277.0,,363.0,,0.0047309361519112724,,0.0,,0.45830126663459997,
batadal,5,5,0.49079754601226994,,0.17045454545454544,,0.6,,0.26548672566371684,,364.0,,435.0,,0.0032831179809201787,,0.0,,0.41100823045267487,
batadal,5,6,0.4785276073619632,,0.1590909090909091,,0.56,,0.24778761061946902,,421.0,,470.0,,0.0026517566477282342,,0.0,,0.4146090534979424,
batadal,6,3,0.6728395061728395,,0.19047619047619047,,0.2962962962962963,,0.2318840579710145,,197.0,,274.0,,0.007060217990672267,,0.0,,0.5436273871056481,
batadal,6,4,0.5555555555555556,,0.18309859154929578,,0.48148148148148145,,0.2653061224489796,,363.0,,422.0,,0.003202574201822887,,0.0,,0.47018633540372684,
batadal,6,5,0.4567901234567901,,0.17894736842105263,,0.6296296296296297,,0.2786885245901639,,435.0,,468.0,,0.002473246135552913,,0.0,,0.39544513457556935,
batadal,6,6,0.41358024691358025,,0.1792452830188679,,0.7037037037037037,,0.2857142857142857,,470.0,,487.0,,0.002204617473970122,,0.0,,0.32919254658385094,
