train_dataset,test_dataset,accuracy,precision,recall,f1
skab,skab,0.6300912450365368,0.33333333333333337,0.010373653692075945,0.020113727767402074
skab,batadal,0.39634146341463417,0.12745098039215685,0.5652173913043478,0.208
batadal,skab,0.3712544425509452,0.36681231033540873,0.983604388596963,0.5342851335332163
batadal,batadal,0.8353658536585366,0.35714285714285715,0.21739130434782608,0.2702702702702703
